"maximumDepthInMeters"	"Class_phylum"	"magnification"	"cells_in_250_ml"	"identifiedBy"	"organismQuantityType"	"scientificName"	"identificationQualifier"	"year"	"expedition"	"locationID"	"fieldNumber"	"previousIdentifications"	"basisOfRecord"	"organismQuantity"	"individualCount"	"sampleSizeUnit"	"occurrenceStatus"	"quantificationStatus"	"fieldsInCount"	"maxFields"	"takenVolume"	"initialVolume"	"gear"	"taxonRank"	"cell_size_in_classes_um"	"verbatimTaxon"	"organismRemarks"	"minimumDepthInMeters"	"lifeStage"	"col18"	"sampletype"	"occurrenceRemarks"	"log_no"
10	"Peridinea"	10	0	"iopan.pl"	"cells/l"	"Protoperidinium cerasus"		2010	"ICE2010"	"R1"	"ICE10-18"		"Occurrence"	134.334328358209	6.71671641791045	"l"	"present"	"incalculable"	67	450.02	50	1						10					
10	"Peridinea"	10	0	"iopan.pl"	"cells/l"	"Protoperidinium pallidum"		2010	"ICE2010"	"R1"	"ICE10-18"		"Occurrence"	268.668656716418	13.4334328358209	"l"	"present"	"incalculable"	67	450.02	50	1						10					
10	"Prasinophyceae"	60	0	"iopan.pl"	"cells/l"	"Pyramimonas"	"sp."	2010	"ICE2010"	"R1"	"ICE10-18"		"Occurrence"	2105.71012658228	105.285506329114	"l"	"present"	"incalculable"	158	16635.11	50	1		"species"				10					
10	"Spirotrichea"	10	0	"iopan.pl"	"cells/l"	"Strombidium"	"sp."	2010	"ICE2010"	"R1"	"ICE10-18"		"Occurrence"	1880.68059701493	94.0340298507463	"l"	"present"	"incalculable"	67	450.02	50	1		"species"				10					
25	"Peridinea"	60	0	"iopan.pl"	"cells/l"	"Alexandrium"	"sp."	2010	"ICE2010"	"R1"	"ICE10-19"		"Occurrence"	2510.96	125.548	"l"	"present"	"incalculable"	265	16635.11	50	1		"species"				25					
25	"Chrysophyceae"	60	0	"iopan.pl"	"cells/l"	"Chrysophyceae"		2010	"ICE2010"	"R1"	"ICE10-19"	"Chrysophycean"	"Occurrence"	1255.48	62.774	"l"	"present"	"incalculable"	265	16635.11	50	1						25	"cysts"				
25	"Prymnesiophyceae"	60	0	"iopan.pl"	"cells/l"	"Prymnesiophyceae"	"indet."	2010	"ICE2010"	"R1"	"ICE10-19"	"Coccolithophora"	"Occurrence"	105285.506329114	5264.2753164557	"l"	"present"	"incalculable"	158	16635.11	50	1						25					
25	"Cryptophyceae"	60	0	"iopan.pl"	"cells/l"	"Cryptomonas"	"sp."	2010	"ICE2010"	"R1"	"ICE10-19"		"Occurrence"	155468.317757009	7773.41588785047	"l"	"present"	"incalculable"	107	16635.11	50	1		"species"				25					
25	"Chrysophyceae"	60	0	"iopan.pl"	"cells/l"	"Dinobryon balticum"		2010	"ICE2010"	"R1"	"ICE10-19"		"Occurrence"	2510.96	125.548	"l"	"present"	"incalculable"	265	16635.11	50	1						25					
25	"Flagellatae"	60	0	"iopan.pl"	"cells/l"	"Eukaryota"	"incertae sedis"	2010	"ICE2010"	"R1"	"ICE10-19"		"Occurrence"	3766.44	188.322	"l"	"present"	"incalculable"	265	16635.11	50	1			"~3"	"Flagellatae"	"flagellate"	25					
25	"Flagellatae"	60	0	"iopan.pl"	"cells/l"	"Eukaryota"	"incertae sedis"	2010	"ICE2010"	"R1"	"ICE10-19"		"Occurrence"	268308.225806452	13415.4112903226	"l"	"present"	"incalculable"	62	16635.11	50	1			"3.0-7.0"	"Flagellatae"	"flagellate"	25					
25	"Diatomeae"	60	0	"iopan.pl"	"cells/l"	"Fragilariopsis cylindrus"		2010	"ICE2010"	"R1"	"ICE10-19"		"Occurrence"	16321.24	816.062	"l"	"present"	"incalculable"	265	16635.11	50	1						25					
25	"Peridinea"	60	0	"iopan.pl"	"cells/l"	"Gymnodinium"	"cf. gracilentum"	2010	"ICE2010"	"R1"	"ICE10-19"	"Gymnodinium cf gracilentum"	"Occurrence"	15065.76	753.288	"l"	"present"	"incalculable"	265	16635.11	50	1						25					
